project,total_criteria_rag,met_criteria_rag,percentage_rag,timestamp_rag,essential_met_rag,essential_total_rag,essential_percentage_rag,professional_met_rag,professional_total_rag,professional_percentage_rag,elite_met_rag,elite_total_rag,elite_percentage_rag,total_criteria_general,met_criteria_general,percentage_general,timestamp_general,essential_met_general,essential_total_general,essential_percentage_general,professional_met_general,professional_total_general,professional_percentage_general,elite_met_general,elite_total_general,elite_percentage_general
https://github.com/kostas696/sustainarag,15,13,86.7,2025-06-17 20:57:26,9,10,90.0,3,4,75.0,1,1,100.0,81,61,75.3,2025-06-17 20:02:19,23,25,92.0,36,46,78.3,2,10,20.0
https://github.com/krys2fa/rt-rag-chatbot-assistant,15,11,73.3,2025-06-17 21:11:33,8,10,80.0,3,4,75.0,0,1,0.0,81,61,75.3,2025-06-17 20:44:52,21,25,84.0,38,46,82.6,2,10,20.0
https://github.com/kuxall/agentic-ai,15,12,80.0,2025-06-17 20:51:49,9,10,90.0,3,4,75.0,0,1,0.0,81,42,51.9,2025-06-17 19:55:36,16,25,64.0,25,46,54.3,1,10,10.0
https://github.com/madhans476/traffic_rules_assistant/,15,11,73.3,2025-06-17 21:03:50,8,10,80.0,3,4,75.0,0,1,0.0,81,63,77.8,2025-06-17 20:17:27,23,25,92.0,36,46,78.3,4,10,40.0
https://github.com/mgoltzsche/knowledgebot,1,1,100.0,2025-06-17 21:01:40,1,1,100.0,0,0,0.0,0,0,0.0,64,52,81.2,2025-06-17 20:13:08,20,22,90.9,28,34,82.4,4,8,50.0
https://github.com/molero3111/rag-assistant-api,15,11,73.3,2025-06-17 21:02:53,8,10,80.0,3,4,75.0,0,1,0.0,85,77,90.6,2025-06-17 20:16:04,27,27,100.0,42,48,87.5,8,10,80.0
https://github.com/mukundan1/docqa,15,12,80.0,2025-06-17 21:06:25,9,10,90.0,3,4,75.0,0,1,0.0,81,65,80.2,2025-06-17 20:27:48,23,25,92.0,38,46,82.6,4,10,40.0
https://github.com/nikita-sharma-tech/Career-Path-Guidance-AI-Assistant-for-Data-Science,14,9,64.3,2025-06-17 21:11:09,8,9,88.9,1,4,25.0,0,1,0.0,83,39,47.0,2025-06-17 20:43:49,14,26,53.8,25,47,53.2,0,10,0.0
https://github.com/phanminhtai23/VietnamWarQA-RAG,15,14,93.3,2025-06-17 20:57:56,10,10,100.0,4,4,100.0,0,1,0.0,81,60,74.1,2025-06-17 20:05:33,23,25,92.0,35,46,76.1,2,10,20.0
https://github.com/poacosta/the-librarian,15,10,66.7,2025-06-17 21:06:58,7,10,70.0,3,4,75.0,0,1,0.0,81,68,84.0,2025-06-17 20:28:33,25,25,100.0,40,46,87.0,3,10,30.0
https://github.com/polymathLTE/agentic-ai,15,10,66.7,2025-06-17 21:10:16,8,10,80.0,2,4,50.0,0,1,0.0,81,48,59.3,2025-06-17 20:41:53,22,25,88.0,26,46,56.5,0,10,0.0
https://github.com/rishi255/askthedocs,15,12,80.0,2025-06-17 21:08:45,9,10,90.0,3,4,75.0,0,1,0.0,81,63,77.8,2025-06-17 20:38:16,24,25,96.0,38,46,82.6,1,10,10.0
https://github.com/sahil095/RAG-based-financial-research-assistant,15,11,73.3,2025-06-17 21:10:05,8,10,80.0,3,4,75.0,0,1,0.0,81,49,60.5,2025-06-17 20:41:04,20,25,80.0,29,46,63.0,0,10,0.0
https://github.com/simsimi2143/Rag-nvidia-nim,15,11,73.3,2025-06-17 21:09:09,9,10,90.0,2,4,50.0,0,1,0.0,85,60,70.6,2025-06-17 20:39:25,24,27,88.9,34,48,70.8,2,10,20.0
https://github.com/sri1991/paperpulse,15,13,86.7,2025-06-17 21:00:57,10,10,100.0,3,4,75.0,0,1,0.0,81,53,65.4,2025-06-17 20:12:01,22,25,88.0,30,46,65.2,1,10,10.0
https://github.com/stephanie0324/KnowBot,15,12,80.0,2025-06-17 20:54:26,9,10,90.0,3,4,75.0,0,1,0.0,81,63,77.8,2025-06-17 19:58:46,24,25,96.0,35,46,76.1,4,10,40.0
https://github.com/swathiradhakrishnan06/Ecommerce-Q-A-Assistant-using-RAG,15,10,66.7,2025-06-17 21:03:23,8,10,80.0,2,4,50.0,0,1,0.0,81,52,64.2,2025-06-17 20:16:40,20,25,80.0,32,46,69.6,0,10,0.0
https://github.com/vanip3/rag-groq-app-,15,11,73.3,2025-06-17 21:11:20,8,10,80.0,3,4,75.0,0,1,0.0,81,58,71.6,2025-06-17 20:44:34,21,25,84.0,34,46,73.9,3,10,30.0
https://github.com/ymd65536/slack_bigquery_vector/,15,11,73.3,2025-06-17 21:03:07,8,10,80.0,3,4,75.0,0,1,0.0,81,53,65.4,2025-06-17 20:16:23,23,25,92.0,28,46,60.9,2,10,20.0
https://github.com/zshafique25/RAG_Assisstant,15,14,93.3,2025-06-17 21:08:11,10,10,100.0,4,4,100.0,0,1,0.0,81,63,77.8,2025-06-17 20:37:12,23,25,92.0,37,46,80.4,3,10,30.0
