publication_external_id,publication_title,url,rag_score,rag_total,rag_percentage,general_score,general_total,general_percentage,combined_percentage
90Gdnmy5EuOR,RAG-Based Financial Research Assistant,https://github.com/sahil095/RAG-based-financial-research-assistant,10,16,0.625,11,31,0.3548,0.9798
967PpYl1ONyD,Traffic Rules Assistant,https://github.com/madhans476/traffic_rules_assistant/,13,16,0.8125,17,31,0.5484,1.3609
9VFqBbmNw65U,RAG Assistant for IGBO Cultural Information and Proverbs,https://github.com/Dprof-in-tech/igbo_culture_RAG.py.git,12,16,0.75,22,31,0.7097,1.4597
A4c7i0iQhjCl,Agent 47: Precise recent data retrieval,https://github.com/polymathLTE/agentic-ai,12,16,0.75,17,31,0.5484,1.2984
ANhHUbARKoZL,AskTheDocs: a Local‑First RAG Chatbot for Technical Documentation,https://github.com/rishi255/askthedocs,12,16,0.75,28,31,0.9032,1.6532
Aew5eWU5GhFy,Streamlit AI Guide: AI-Powered Streamlit Documentation Tutor,https://github.com/archanags001/streamlit-ai-guide,12,16,0.75,20,31,0.6452,1.3952
Az72dkvWhXdL,Research Assistant RAG,https://github.com/Moniica990/Research_assistant_RAG_AI,1,16,0.0625,4,31,0.129,0.1915
B6ZkgH7d9ekX,Docling Q&A,https://github.com/mukundan1/docqa/code,11,16,0.6875,21,31,0.6774,1.3649
BpryDLtWHWkx,RAG based Chatbot Specializing in U.S. History,https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/2-0-flash,11,16,0.6875,18,31,0.5806,1.2681
DUiPV8B0Swzl,Ragssistant: RAG-Powered-AI-Assistant,https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant,9,16,0.5625,16,31,0.5161,1.0786
EIBBy4jo6Kk1,A Wikipedia-based RAG System with Fact Verification and Conversation Management,https://github.com/daishir0/rag-document-assistant/,14,16,0.875,19,31,0.6129,1.4879
Ea5WUg3GE1o4,Carrer Path Guidance AI Assistant in Data Science,https://github.com/nikita-sharma-tech/Career-Path-Guidance-AI-Assistant-for-Data-Science/tree/main,10,16,0.625,17,31,0.5484,1.1734
FUN8ODzJbGxU,Agentic AI Developer Certification Project 1 - RAG Based Chatbot using LangChain,https://github.com/aryanmahawar205/conversational-rag-chatbot,11,16,0.6875,16,31,0.5161,1.2036
H2rbE1JDof4y,"Stop Searching, Start Asking: LangGraph Documentation at Your Fingertips 🤖🚀",https://github.com/MAQuesada/langgraph_documentation_RAG,14,16,0.875,23,31,0.7419,1.6169
HWb7EKooLzJS,OptiBotSync – Ideal for productivity or multi-tool integration,,0,16,0.0,-1,31,-0.0323,-0.0323
Hhc2gcrb6Htp,Knowledge Bot - A Q&A RAG bot,https://github.com/mgoltzsche/knowledgebot,14,16,0.875,25,31,0.8065,1.6815
HlGzst8AOo6s,PaperPulse: Your RAG-based Research Assistant,https://github.com/sri1991/paperpulse,6,16,0.375,16,31,0.5161,0.8911
HnFeAayhC99X,AAIDC2025 Module1 Project - Notebook-RAG,https://github.com/Eng-Elias/notebook_rag,6,16,0.375,23,31,0.7419,1.1169
ICfIfIRJ7hYj,Gemini RAG Assistant: Intelligent Document Q&A System,https://github.com/KesavGopan10/Module-1-Project,13,16,0.8125,24,31,0.7742,1.5867
KwKSDEOcAXrX,RAG (Retrieval Augmented Generation) Chatbot,https://github.com/MANU-de/RAG-CHATBOT,12,16,0.75,10,31,0.3226,1.0726
LstceSnb3IDH,Research Assistant,https://github.com/daniau23/research_assistant,10,16,0.625,19,31,0.6129,1.2379
O0NZPilG88oo,RAG-powered-assistant,https://github.com/AishwaryaChandel27/RAG-powered-assistant,1,16,0.0625,-6,31,-0.1935,-0.131
OiF4ZW9X2jeo,🤖 Basic RAG System with ChromaDB and Groq,https://github.com/vanip3/rag-groq-app-.git,4,16,0.25,10,31,0.3226,0.5726
PMe6opu9HA3u,Interview Status Chatbot: A RAG-Powered HR Assistant for Job Application Tracking,https://github.com/abdullah-k18/interview-status-chatbot,13,16,0.8125,21,31,0.6774,1.4899
RlZIfkqK8e4u,RAG Assistant for Custom Knowledge Base,https://github.com/AmmarAhmedl200961/simple-rag,9,16,0.5625,7,31,0.2258,0.7883
SL2d7v43ml6X,testing test,,0,16,0.0,-8,31,-0.2581,-0.2581
Srxfh03hVX9C, RAG-based AI assistant for scientific paper summarization and suggestion,https://github.com/Zeeshier/Retrieval_Augmented_Generation/tree/main/Projects/scientific_paper_summarization_and_suggestion,11,16,0.6875,8,31,0.2581,0.9456
TwnmLnyzHBmm,BiochemRAG: A Retrieval-Augmented Generation System for Domain-Specific Biochemistry Topic,https://github.com/Popsonn/ready_tensor-rag_project_wk1/tree/main,11,16,0.6875,18,31,0.5806,1.2681
WQqk306r08hW,"RAG-Based AI Publication/Documents Agent using LangChain, ChromaDB, GROQ",https://github.com/iyinusa/rag-ai-assistant,14,16,0.875,19,31,0.6129,1.4879
XKgpjOObSLfF,Module 1 RAG Project ,https://github.com/Akhilpm156/Chat_Bot_RAG_Project_V2.git,8,16,0.5,4,31,0.129,0.629
XTZxtVu1fotd,Slack Bot Development with BigQuery Vector Search,https://github.com/ymd65536/slack_bigquery_vector/,1,16,0.0625,7,31,0.2258,0.2883
YPaSuFfjSL2v,SustainaRAG: A Retrieval-Augmented Assistant for CSR & ESG Strategy Design,https://github.com/kostas696/sustainarag,12,16,0.75,26,31,0.8387,1.5887
a5JYVWRZcIL3,The Librarian: Domain-Specialized RAG Architecture for Literary Analysis,https://github.com/poacosta/the-librarian,10,16,0.625,19,31,0.6129,1.2379
bY0Hasn6cBKO,MusafirAI: RAG-PoweredTravel Itinerary Generator,https://github.com/zshafique25/RAG_Assisstant,13,16,0.8125,26,31,0.8387,1.6512
f7jkvoxhGkWT,KnowBot: An Interactive RAG Chatbot for Academic Document Exploration,https://github.com/stephanie0324/KnowBot,12,16,0.75,27,31,0.871,1.621
fEZHv6d4lqmx,RT-RAG Assistant: A Modular Retrieval-Augmented Generation Framework for Document Querying,https://github.com/JbellMD/RT-RAG,8,16,0.5,20,31,0.6452,1.1452
h5ezVP2PhTun,RAG based Chatbot Specializing in U.S. History,https://github.com/NewGenesis04/Ready-Tensor-AI-Engineering/tree/main/RAG_APP,12,16,0.75,21,31,0.6774,1.4274
hDpOInariYSZ,PDF Chat Assistant using Agentic RAG,https://github.com/dishangrgbhd/PDF-Chat-Assistant,4,16,0.25,5,31,0.1613,0.4113
hJ4aTArbK8XV,AAIDC2025: Project 1- RAG AI Assistant,https://github.com/diyasrawat/FinReg-AI-Advanced-Financial-Regulatory-Chatbot,6,16,0.375,0,31,0.0,0.375
iSUvjnognEEL,Agentic AI Developer Certification Project: A RAG-based AI assistant for Tensor Publication Explorer,https://github.com/Joshua-Abok/rag_apk,9,16,0.5625,20,31,0.6452,1.2077
kRxLwW6vxsDn,"RAG Assistant using FAISS, Langchain and Gradio",https://github.com/Say2hub/RAG-Assistant/blob/main/main.py,9,16,0.5625,12,31,0.3871,0.9496
l31Tqp5nU423,AsktheScholar - Multimodal RAG to Chat with Research Papers,https://github.com/aminajavaid30/ask_the_scholar,12,16,0.75,19,31,0.6129,1.3629
lLRMZ6kjsB8O,modular-rag-assistant,https://github.com/caliskate/modular-rag-assistant/,2,16,0.125,0,31,0.0,0.125
m4Ger4j7PxpG,Module 1 RAG Assistant App,https://github.com/balajik-g/RAG_Assistant_M_1.0,6,16,0.375,3,31,0.0968,0.4718
m7GVzxm05ZEj,RAG Assistant App,https://github.com/kuxall/agentic-ai,13,16,0.8125,11,31,0.3548,1.1673
nS6fajvZ0wuB,RAG Based Research Assistant,https://github.com/ajayjai30/READY_TENSOR_WEEK-1_ASSIGNMENT,11,16,0.6875,12,31,0.3871,1.0746
oARTT6bvyALY,Ragssistant - A RAG assistant for you,https://github.com/HiIAmTzeKean/RAG-Powered-AI-Assistant,0,16,0.0,-4,31,-0.129,-0.129
q20UHntkFq3r, How AI Agents Transform PDFs into Polished Articles,https://github.com/Chukwuebuka-2003/rag_agentarticle/tree/main,6,16,0.375,12,31,0.3871,0.7621
sgi0REs2wi2J,Ready Tensor RAG Assistant,https://github.com/SGFIRE/ready-tensor-certification,13,16,0.8125,23,31,0.7419,1.5544
tFWaqm3NnqpZ,Q&A Chatbot for Historical Documents using RAG and Google Gemini,https://github.com/phanminhtai23/VietnamWarQA-RAG,15,16,0.9375,24,31,0.7742,1.7117
wpI38s0JViqj,"RAG Chat Assistant, using QWEN Chat local model via LangChain",https://github.com/AndreyGermanov/langchain_qwen_chat_cli,8,16,0.5,5,31,0.1613,0.6613
xCKVBAwZpJOL,RAG ASSISTANT PROJECT,https://github.com/Chizzy0428/RAG-Assistant-Project/tree/main,8,16,0.5,18,31,0.5806,1.0806
yk9REEuNwN8E,Recipe Generator App(RAG-based Assistant),https://github.com/Murasajo/Recipe-Generator-App,6,16,0.375,22,31,0.7097,1.0847
ynz0tnpH0Vsa,Module 1 Project 1 submission: RAG based AI assistant,https://github.com/krys2fa/rt-rag-chatbot-assistant,11,16,0.6875,19,31,0.6129,1.3004
ywfeDHNiFx7n,Chatbot for Efficient Banking Customer Experience,https://github.com/Addisu-Taye/bank-customer-service-chatbot.git,11,16,0.6875,23,31,0.7419,1.4294
zWw6CocJH4jp,Canvas LMS Chatbot – Project 1: Foundations of Agentic AI,https://github.com/Myrahrs/Foundations-of-Agentic-AI/tree/AAIDC-Module-1-Project,11,16,0.6875,18,31,0.5806,1.2681
