project,total_criteria,met_criteria,percentage,timestamp,essential_met,essential_total,essential_percentage,professional_met,professional_total,professional_percentage,elite_met,elite_total,elite_percentage
https://github.com/kartavya4874/RAG-Assistant---AAIDC,81,59,72.8,2025-06-17 20:22:09,20,25,80.0,35,46,76.1,4,10,40.0
https://github.com/diyasrawat/FinReg-AI-Advanced-Financial-Regulatory-Chatbot,81,37,45.7,2025-06-17 20:22:30,15,25,60.0,22,46,47.8,0,10,0.0
https://github.com/balajik-g/RAG_Assistant_M_1.0,81,41,50.6,2025-06-17 20:22:54,14,25,56.0,24,46,52.2,3,10,30.0
https://github.com/mukundan1/docqa,81,65,80.2,2025-06-17 20:27:48,23,25,92.0,38,46,82.6,4,10,40.0
https://github.com/gourishankar27/local_RAG_agent_system,85,53,62.4,2025-06-17 20:28:05,23,27,85.2,29,48,60.4,1,10,10.0
https://github.com/poacosta/the-librarian,81,68,84.0,2025-06-17 20:28:33,25,25,100.0,40,46,87.0,3,10,30.0
https://github.com/AishwaryaChandel27/RAG-powered-assistant,81,57,70.4,2025-06-17 20:28:53,20,25,80.0,35,46,76.1,2,10,20.0
https://github.com/AishwaryaChandel27/RAG-powered-assistant,81,57,70.4,2025-06-17 20:29:13,20,25,80.0,35,46,76.1,2,10,20.0
https://github.com/Eng-Elias/notebook_rag,81,61,75.3,2025-06-17 20:29:33,25,25,100.0,33,46,71.7,3,10,30.0
https://github.com/ajayjai30/READY_TENSOR_WEEK-1_ASSIGNMENT,81,51,63.0,2025-06-17 20:30:03,18,25,72.0,33,46,71.7,0,10,0.0
https://github.com/archanags001/streamlit-ai-guide,81,57,70.4,2025-06-17 20:30:25,24,25,96.0,31,46,67.4,2,10,20.0
https://github.com/zshafique25/RAG_Assisstant,81,63,77.8,2025-06-17 20:37:12,23,25,92.0,37,46,80.4,3,10,30.0
https://github.com/rishi255/askthedocs,81,63,77.8,2025-06-17 20:38:16,24,25,96.0,38,46,82.6,1,10,10.0
https://github.com/MAQuesada/langgraph_documentation_RAG,85,73,85.9,2025-06-17 20:38:38,23,27,85.2,44,48,91.7,6,10,60.0
https://github.com/simsimi2143/Rag-nvidia-nim,85,60,70.6,2025-06-17 20:39:25,24,27,88.9,34,48,70.8,2,10,20.0
https://github.com/iyinusa/rag-ai-assistant,81,67,82.7,2025-06-17 20:39:45,25,25,100.0,39,46,84.8,3,10,30.0
https://github.com/sahil095/RAG-based-financial-research-assistant,81,49,60.5,2025-06-17 20:41:04,20,25,80.0,29,46,63.0,0,10,0.0
https://github.com/polymathLTE/agentic-ai,81,48,59.3,2025-06-17 20:41:53,22,25,88.0,26,46,56.5,0,10,0.0
https://github.com/caliskate/modular-rag-assistant/,81,62,76.5,2025-06-17 20:42:13,25,25,100.0,35,46,76.1,2,10,20.0
https://github.com/This-is-just-a-test-ben/rag_psych_helper,81,55,67.9,2025-06-17 20:43:02,21,25,84.0,32,46,69.6,2,10,20.0
https://github.com/aryanmahawar205/conversational-rag-chatbot,81,63,77.8,2025-06-17 20:43:25,24,25,96.0,35,46,76.1,4,10,40.0
https://github.com/nikita-sharma-tech/Career-Path-Guidance-AI-Assistant-for-Data-Science,83,39,47.0,2025-06-17 20:43:49,14,26,53.8,25,47,53.2,0,10,0.0
https://github.com/vanip3/rag-groq-app-,81,58,71.6,2025-06-17 20:44:34,21,25,84.0,34,46,73.9,3,10,30.0
https://github.com/krys2fa/rt-rag-chatbot-assistant,81,61,75.3,2025-06-17 20:44:52,21,25,84.0,38,46,82.6,2,10,20.0
