project,total_criteria_rag,met_criteria_rag,percentage_rag,timestamp_rag,essential_met_rag,essential_total_rag,essential_percentage_rag,professional_met_rag,professional_total_rag,professional_percentage_rag,elite_met_rag,elite_total_rag,elite_percentage_rag,total_criteria_general,met_criteria_general,percentage_general,timestamp_general,essential_met_general,essential_total_general,essential_percentage_general,professional_met_general,professional_total_general,professional_percentage_general,elite_met_general,elite_total_general,elite_percentage_general,_merge
https://github.com/This-is-just-a-test-ben/rag_psych_helper,15.0,12.0,80.0,2025-06-17 21:10:44,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,55.0,67.9,2025-06-17 20:43:02,21.0,25.0,84.0,32.0,46.0,69.6,2.0,10.0,20.0,both
https://github.com/Tolulopeelijah/studybuddy-rag,14.0,12.0,85.7,2025-06-17 21:04:04,9.0,9.0,100.0,3.0,4.0,75.0,0.0,1.0,0.0,83.0,62.0,74.7,2025-06-17 20:17:45,23.0,26.0,88.5,36.0,47.0,76.6,3.0,10.0,30.0,both
https://github.com/Zeeshier/Retrieval_Augmented_Generation,15.0,11.0,73.3,2025-06-17 21:01:21,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,85.0,32.0,37.6,2025-06-17 20:12:37,13.0,27.0,48.1,19.0,48.0,39.6,0.0,10.0,0.0,both
https://github.com/abdullah-k18/interview-status-chatbot,15.0,10.0,66.7,2025-06-17 20:58:18,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,55.0,67.9,2025-06-17 20:05:49,23.0,25.0,92.0,32.0,46.0,69.6,0.0,10.0,0.0,both
https://github.com/ajayjai30/READY_TENSOR_WEEK-1_ASSIGNMENT,15.0,10.0,66.7,2025-06-17 21:07:41,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,51.0,63.0,2025-06-17 20:30:03,18.0,25.0,72.0,33.0,46.0,71.7,0.0,10.0,0.0,both
https://github.com/aminajavaid30/ask_the_scholar,15.0,12.0,80.0,2025-06-17 20:59:20,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,62.0,76.5,2025-06-17 20:07:21,25.0,25.0,100.0,34.0,46.0,73.9,3.0,10.0,30.0,both
https://github.com/archanags001/streamlit-ai-guide,15.0,12.0,80.0,2025-06-17 21:07:54,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,57.0,70.4,2025-06-17 20:30:25,24.0,25.0,96.0,31.0,46.0,67.4,2.0,10.0,20.0,both
https://github.com/aryanmahawar205/conversational-rag-chatbot,15.0,12.0,80.0,2025-06-17 21:10:57,8.0,10.0,80.0,4.0,4.0,100.0,0.0,1.0,0.0,81.0,63.0,77.8,2025-06-17 20:43:25,24.0,25.0,96.0,35.0,46.0,76.1,4.0,10.0,40.0,both
https://github.com/balajik-g/RAG_Assistant_M_1.0,15.0,12.0,80.0,2025-06-17 21:05:58,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,41.0,50.6,2025-06-17 20:22:54,14.0,25.0,56.0,24.0,46.0,52.2,3.0,10.0,30.0,both
https://github.com/caliskate/modular-rag-assistant/,15.0,12.0,80.0,2025-06-17 21:10:31,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,62.0,76.5,2025-06-17 20:42:13,25.0,25.0,100.0,35.0,46.0,76.1,2.0,10.0,20.0,both
https://github.com/daishir0/rag-document-assistant/,15.0,11.0,73.3,2025-06-17 20:52:02,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,62.0,76.5,2025-06-17 19:55:53,25.0,25.0,100.0,35.0,46.0,76.1,2.0,10.0,20.0,both
https://github.com/daniau23/research_assistant,15.0,12.0,80.0,2025-06-17 21:00:02,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,85.0,56.0,65.9,2025-06-17 20:08:21,24.0,27.0,88.9,31.0,48.0,64.6,1.0,10.0,10.0,both
https://github.com/dishangrgbhd/PDF-Chat-Assistant,15.0,11.0,73.3,2025-06-17 21:05:03,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,58.0,71.6,2025-06-17 20:21:35,24.0,25.0,96.0,34.0,46.0,73.9,0.0,10.0,0.0,both
https://github.com/diyasrawat/FinReg-AI-Advanced-Financial-Regulatory-Chatbot,15.0,12.0,80.0,2025-06-17 21:05:43,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,37.0,45.7,2025-06-17 20:22:30,15.0,25.0,60.0,22.0,46.0,47.8,0.0,10.0,0.0,both
https://github.com/ezedinff/AAIDC,15.0,13.0,86.7,2025-06-17 20:57:44,9.0,10.0,90.0,4.0,4.0,100.0,0.0,1.0,0.0,81.0,49.0,60.5,2025-06-17 20:05:13,15.0,25.0,60.0,30.0,46.0,65.2,4.0,10.0,40.0,both
https://github.com/gourishankar27/local_RAG_agent_system,15.0,11.0,73.3,2025-06-17 21:06:38,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,85.0,53.0,62.4,2025-06-17 20:28:05,23.0,27.0,85.2,29.0,48.0,60.4,1.0,10.0,10.0,both
https://github.com/hakangulcu/ready-tensor-rag-assistant,15.0,11.0,73.3,2025-06-17 21:04:17,10.0,10.0,100.0,1.0,4.0,25.0,0.0,1.0,0.0,81.0,58.0,71.6,2025-06-17 20:20:10,24.0,25.0,96.0,34.0,46.0,73.9,0.0,10.0,0.0,both
https://github.com/iyinusa/rag-ai-assistant,15.0,12.0,80.0,2025-06-17 21:09:22,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,67.0,82.7,2025-06-17 20:39:45,25.0,25.0,100.0,39.0,46.0,84.8,3.0,10.0,30.0,both
https://github.com/kartavya4874/RAG-Assistant---AAIDC,15.0,13.0,86.7,2025-06-17 21:05:29,10.0,10.0,100.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,59.0,72.8,2025-06-17 20:22:09,20.0,25.0,80.0,35.0,46.0,76.1,4.0,10.0,40.0,both
https://github.com/kostas696/sustainarag,15.0,13.0,86.7,2025-06-17 20:57:26,9.0,10.0,90.0,3.0,4.0,75.0,1.0,1.0,100.0,81.0,61.0,75.3,2025-06-17 20:02:19,23.0,25.0,92.0,36.0,46.0,78.3,2.0,10.0,20.0,both
https://github.com/krys2fa/rt-rag-chatbot-assistant,15.0,11.0,73.3,2025-06-17 21:11:33,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,61.0,75.3,2025-06-17 20:44:52,21.0,25.0,84.0,38.0,46.0,82.6,2.0,10.0,20.0,both
https://github.com/kuxall/agentic-ai,15.0,12.0,80.0,2025-06-17 20:51:49,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,42.0,51.9,2025-06-17 19:55:36,16.0,25.0,64.0,25.0,46.0,54.3,1.0,10.0,10.0,both
https://github.com/madhans476/traffic_rules_assistant/,15.0,11.0,73.3,2025-06-17 21:03:50,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,63.0,77.8,2025-06-17 20:17:27,23.0,25.0,92.0,36.0,46.0,78.3,4.0,10.0,40.0,both
https://github.com/mgoltzsche/knowledgebot,1.0,1.0,100.0,2025-06-17 21:01:40,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,52.0,81.2,2025-06-17 20:13:08,20.0,22.0,90.9,28.0,34.0,82.4,4.0,8.0,50.0,both
https://github.com/molero3111/rag-assistant-api,15.0,11.0,73.3,2025-06-17 21:02:53,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,85.0,77.0,90.6,2025-06-17 20:16:04,27.0,27.0,100.0,42.0,48.0,87.5,8.0,10.0,80.0,both
https://github.com/mukundan1/docqa,15.0,12.0,80.0,2025-06-17 21:06:25,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,65.0,80.2,2025-06-17 20:27:48,23.0,25.0,92.0,38.0,46.0,82.6,4.0,10.0,40.0,both
https://github.com/nikita-sharma-tech/Career-Path-Guidance-AI-Assistant-for-Data-Science,14.0,9.0,64.3,2025-06-17 21:11:09,8.0,9.0,88.9,1.0,4.0,25.0,0.0,1.0,0.0,83.0,39.0,47.0,2025-06-17 20:43:49,14.0,26.0,53.8,25.0,47.0,53.2,0.0,10.0,0.0,both
https://github.com/phanminhtai23/VietnamWarQA-RAG,15.0,14.0,93.3,2025-06-17 20:57:56,10.0,10.0,100.0,4.0,4.0,100.0,0.0,1.0,0.0,81.0,60.0,74.1,2025-06-17 20:05:33,23.0,25.0,92.0,35.0,46.0,76.1,2.0,10.0,20.0,both
https://github.com/poacosta/the-librarian,15.0,10.0,66.7,2025-06-17 21:06:58,7.0,10.0,70.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,68.0,84.0,2025-06-17 20:28:33,25.0,25.0,100.0,40.0,46.0,87.0,3.0,10.0,30.0,both
https://github.com/polymathLTE/agentic-ai,15.0,10.0,66.7,2025-06-17 21:10:16,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,48.0,59.3,2025-06-17 20:41:53,22.0,25.0,88.0,26.0,46.0,56.5,0.0,10.0,0.0,both
https://github.com/rishi255/askthedocs,15.0,12.0,80.0,2025-06-17 21:08:45,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,63.0,77.8,2025-06-17 20:38:16,24.0,25.0,96.0,38.0,46.0,82.6,1.0,10.0,10.0,both
https://github.com/sahil095/RAG-based-financial-research-assistant,15.0,11.0,73.3,2025-06-17 21:10:05,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,49.0,60.5,2025-06-17 20:41:04,20.0,25.0,80.0,29.0,46.0,63.0,0.0,10.0,0.0,both
https://github.com/simsimi2143/Rag-nvidia-nim,15.0,11.0,73.3,2025-06-17 21:09:09,9.0,10.0,90.0,2.0,4.0,50.0,0.0,1.0,0.0,85.0,60.0,70.6,2025-06-17 20:39:25,24.0,27.0,88.9,34.0,48.0,70.8,2.0,10.0,20.0,both
https://github.com/sri1991/paperpulse,15.0,13.0,86.7,2025-06-17 21:00:57,10.0,10.0,100.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,53.0,65.4,2025-06-17 20:12:01,22.0,25.0,88.0,30.0,46.0,65.2,1.0,10.0,10.0,both
https://github.com/stephanie0324/KnowBot,15.0,12.0,80.0,2025-06-17 20:54:26,9.0,10.0,90.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,63.0,77.8,2025-06-17 19:58:46,24.0,25.0,96.0,35.0,46.0,76.1,4.0,10.0,40.0,both
https://github.com/swathiradhakrishnan06/Ecommerce-Q-A-Assistant-using-RAG,15.0,10.0,66.7,2025-06-17 21:03:23,8.0,10.0,80.0,2.0,4.0,50.0,0.0,1.0,0.0,81.0,52.0,64.2,2025-06-17 20:16:40,20.0,25.0,80.0,32.0,46.0,69.6,0.0,10.0,0.0,both
https://github.com/vanip3/rag-groq-app-,15.0,11.0,73.3,2025-06-17 21:11:20,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,58.0,71.6,2025-06-17 20:44:34,21.0,25.0,84.0,34.0,46.0,73.9,3.0,10.0,30.0,both
https://github.com/ymd65536/slack_bigquery_vector/,15.0,11.0,73.3,2025-06-17 21:03:07,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,81.0,53.0,65.4,2025-06-17 20:16:23,23.0,25.0,92.0,28.0,46.0,60.9,2.0,10.0,20.0,both
https://github.com/zshafique25/RAG_Assisstant,15.0,14.0,93.3,2025-06-17 21:08:11,10.0,10.0,100.0,4.0,4.0,100.0,0.0,1.0,0.0,81.0,63.0,77.8,2025-06-17 20:37:12,23.0,25.0,92.0,37.0,46.0,80.4,3.0,10.0,30.0,both
